72.9 27.2 [73.8, 23.8] [Silica Deposit 25]
42.4 95.6 [37.0, 47.3] [Metal Deposit 25]
26.7 26.0 [26.4, 24.2] [Metal Deposit 25]
13.7 30.9 [12.6, 31.3] [Underwater Metal Deposit 25]
95.2 30.9 [37.0, 47.3] [Metal Deposit 25]
23.3 11.9 [23.1, 12.7] [Underwater Metal Deposit 25]
12.6 58.6 [37.0, 47.3] [Metal Deposit 25]
74.3 56.6 [37.0, 47.3] [Metal Deposit 25]
0.7 95.1 [3.5, 91.2] [Crystal Deposit 25]
7.5 88.4 [8.4, 87.7] [Crystal Deposit 25]
2.5 27.7 [5.7, 28.1] [Oil Rock 25]
24.7 75.0 [24.3, 71.0] [Sulfur Deposit 5]
23.8 33.1 [21.7, 31.9] [Obsidian Deposit 25]
57.7 72.8 [62.7, 73.9] [Salt Deposit 5]
30.7 44.3 [37.0, 47.3] [Metal Deposit 25]
84.4 40.3 [84.2, 39.4] [Rich Metal Deposit 100]
83.9 49.0 [37.0, 47.3] [Metal Deposit 25]
85.1 31.0 [37.0, 47.3] [Metal Deposit 25]
54.4 64.0 [55.2, 62.2] [Rich Metal Deposit 100]
94.7 26.7 [37.0, 47.3] [Metal Deposit 25]
59.8 64.7 [58.7, 66.7] [Salt Deposit 5]
52.9 28.1 [52.7, 36.6] [Rare Flowers 5]
79.6 47.6 [79.4, 46.9] [Oil Rock 25]
74.5 73.7 [37.0, 47.3] [Metal Deposit 25]
55.5 44.2 [54.0, 40.5] [Metal Deposit 25]
62.8 20.7 [37.0, 47.3] [Metal Deposit 25]
60.6 8.2 [37.0, 47.3] [Metal Deposit 25]
67.5 84.1 [37.0, 47.3] [Metal Deposit 25]
26.7 48.8 [26.9, 48.5] [Metal Deposit 25]
45.2 96.4 [51.6, 98.4] [Underwater Metal Deposit 25]
49.8 87.8 [37.0, 47.3] [Metal Deposit 25]
13.2 21.3 [37.0, 47.3] [Metal Deposit 25]
56.8 78.7 [55.2, 78.9] [Salt Deposit 5]
2.3 24.7 [5.7, 28.1] [Oil Rock 25]
4.2 34.9 [37.0, 47.3] [Metal Deposit 25]
3.6 85.8 [4.0, 86.3] [Crystal Deposit 25]
99.0 83.5 [37.0, 47.3] [Metal Deposit 25]
73.9 7.2 [73.9, 7.6] [Oil Rock 25]
73.9 74.0 [37.0, 47.3] [Metal Deposit 25]
9.6 67.2 [8.9, 65.2] [Crystal Deposit 25]
26.3 46.9 [37.0, 47.3] [Metal Deposit 25]
26.6 39.6 [26.0, 41.1] [Metal Deposit 25]
29.1 88.9 [26.2, 90.4] [Silica Deposit 25]
86.0 0.1 [84.9, 1.0] [Underwater Metal Deposit 25]
53.8 79.1 [37.0, 47.3] [Metal Deposit 25]
84.5 22.9 [84.2, 24.0] [Sulfur Deposit 5]
1.6 63.0 [4.2, 70.3] [Silica Deposit 25]
91.8 72.4 [94.0, 73.2] [Oil Rock 25]
26.2 71.7 [37.0, 47.3] [Metal Deposit 25]
52.3 87.9 [37.0, 47.3] [Metal Deposit 25]
46.2 44.5 [47.7, 39.1] [Metal Deposit 25]
83.5 62.3 [37.0, 47.3] [Metal Deposit 25]
84.9 98.0 [84.8, 96.1] [Underwater Metal Deposit 25]
1.1 20.0 [4.3, 18.7] [Underwater Metal Deposit 25]
49.6 33.4 [49.6, 36.4] [Obsidian Deposit 25]
67.4 4.2 [65.7, 5.8] [Underwater Metal Deposit 25]
56.7 65.0 [55.2, 62.2] [Rich Metal Deposit 100]
14.7 97.5 [9.5, 97.3] [Crystal Deposit 25]
40.1 6.2 [37.0, 47.3] [Metal Deposit 25]
20.4 8.8 [20.8, 9.6] [Underwater Metal Deposit 25]
29.9 48.3 [29.6, 48.5] [Rich Metal Deposit 100]
18.4 80.9 [19.7, 80.5] [Rare Flowers 5]
77.6 25.4 [37.0, 47.3] [Metal Deposit 25]
14.4 87.7 [37.0, 47.3] [Metal Deposit 25]
8.4 67.1 [8.9, 65.2] [Crystal Deposit 25]
38.2 17.0 [37.0, 47.3] [Metal Deposit 25]
26.3 0.5 [26.8, 2.8] [Underwater Metal Deposit 25]
2.8 58.4 [4.2, 70.3] [Silica Deposit 25]
60.4 80.9 [58.6, 81.0] [Salt Deposit 5]
62.1 44.7 [37.0, 47.3] [Metal Deposit 25]
39.4 96.5 [40.2, 93.9] [Oil Rock 25]
55.5 29.4 [54.9, 35.5] [Metal Deposit 25]
2.5 14.0 [5.2, 13.1] [Underwater Metal Deposit 25]
0.6 15.6 [5.2, 13.1] [Underwater Metal Deposit 25]
8.8 8.0 [37.0, 47.3] [Metal Deposit 25]
51.4 91.3 [37.0, 47.3] [Metal Deposit 25]
84.7 40.4 [86.7, 39.0] [Rich Metal Deposit 100, Crystal Deposit 25]
69.2 68.2 [69.3, 68.7] [Rare Flowers 5]
58.9 43.3 [37.0, 47.3] [Metal Deposit 25]
62.4 64.0 [63.2, 64.0] [Obsidian Deposit 25]
68.7 84.2 [37.0, 47.3] [Metal Deposit 25]
40.4 17.3 [37.0, 47.3] [Metal Deposit 25]
87.6 87.6 [37.0, 47.3] [Metal Deposit 25]
91.0 75.3 [37.0, 47.3] [Metal Deposit 25]
13.7 19.3 [14.2, 19.6] [Oil Rock 25]
36.4 46.8 [37.0, 47.3] [Metal Deposit 25]
82.5 39.7 [82.0, 40.6] [Rich Metal Deposit 100, Metal Deposit 25]
42.9 72.1 [43.3, 70.2] [Metal Deposit 25]
11.8 72.8 [10.3, 73.1] [Silica Deposit 25]
60.4 20.3 [59.7, 18.2] [Underwater Metal Deposit 25]
67.4 40.9 [67.9, 41.3] [Rich Metal Deposit 100]
47.3 88.5 [42.2, 89.2] [Oil Rock 25]
39.6 65.5 [37.0, 47.3] [Metal Deposit 25]
89.1 44.5 [89.0, 44.2] [Silica Deposit 25]
55.8 40.7 [54.0, 40.5] [Metal Deposit 25]
58.6 21.6 [59.1, 23.2] [Underwater Metal Deposit 25]
14.9 45.0 [37.0, 47.3] [Metal Deposit 25]
73.2 51.2 [74.1, 51.8] [Rich Metal Deposit 100]
16.2 68.0 [16.2, 69.8] [Metal Deposit 25]
98.9 90.6 [37.0, 47.3] [Metal Deposit 25]
77.4 93.7 [37.0, 47.3] [Metal Deposit 25]
18.1 84.2 [17.9, 84.8] [Savoroot 1]
76.8 2.2 [37.0, 47.3] [Metal Deposit 25]
25.8 79.8 [31.3, 79.8] [Metal Deposit 25]
31.5 18.0 [37.0, 47.3] [Metal Deposit 25]
42.4 3.8 [42.0, 5.1] [Underwater Metal Deposit 25]
24.1 63.7 [23.5, 62.0] [Obsidian Deposit 25]
37.4 90.0 [36.1, 90.4] [Oil Rock 25]
19.5 50.2 [20.2, 47.5] [Obsidian Deposit 25]
36.3 48.0 [36.9, 47.9] [Clay 5]
73.1 66.9 [73.9, 67.0] [Underwater Metal Deposit 25]
46.0 49.5 [51.9, 49.9] [Metal Deposit 25]
15.1 20.7 [37.0, 47.3] [Metal Deposit 25]
67.2 12.4 [68.0, 12.1] [Underwater Metal Deposit 25]
12.9 6.0 [15.6, 6.2] [Silica Deposit 25]
83.4 59.6 [37.0, 47.3] [Metal Deposit 25]
53.0 80.8 [37.0, 47.3] [Metal Deposit 25]
4.5 36.5 [37.0, 47.3] [Metal Deposit 25]
56.2 66.6 [37.0, 47.3] [Metal Deposit 25]
19.9 75.7 [21.7, 77.2] [Savoroot 1]
36.9 83.3 [36.8, 83.2] [Obsidian Deposit 25]
61.5 10.4 [37.0, 47.3] [Metal Deposit 25]
46.1 84.0 [43.0, 76.4] [Obsidian Deposit 25]
9.2 48.5 [37.0, 47.3] [Metal Deposit 25]
89.9 53.2 [89.5, 53.6] [Oil Rock 25]
75.8 38.5 [75.3, 39.7] [Metal Deposit 25]
99.6 89.8 [37.0, 47.3] [Metal Deposit 25]
