[2.6, 88.0] [Crystal Deposit 25]
[3.9, 75.1] [Oil Rock 25]
[4.2, 70.3] [Silica Deposit 25]
[5.2, 13.1] [Underwater Metal Deposit 25]
[5.4, 14.7] [Underwater Metal Deposit 25]
[6.8, 14.1] [Underwater Metal Deposit 25]
[10.3, 12.7] [Underwater Metal Deposit 25]
[11.7, 6.8] [Underwater Metal Deposit 25]
[13.3, 5.4] [Silica Deposit 25]
[17.0, 4.1] [Silica Deposit 25]
[23.5, 3.7] [Oil Rock 25]
[25.2, 3.1] [Underwater Metal Deposit 25]
[28.2, 2.7] [Underwater Metal Deposit 25]
[39.3, 2.0] [Oil Rock 25]
[42.1, 2.0] [Underwater Metal Deposit 25]
[46.6, 1.3] [Oil Rock 25]
[84.9, 1.0] [Underwater Metal Deposit 25]
[80.2, 1.6] [Silica Deposit 25]
[44.8, 1.7] [Oil Rock 25]
[45.1, 1.8] [Underwater Metal Deposit 25]
[48.3, 1.7] [Oil Rock 25]
[48.7, 1.7] [Silica Deposit 25]
[73.5, 1.8] [Underwater Metal Deposit 25]
[81.5, 1.8] [Metal Deposit 25]
[82.7, 1.8] [Metal Deposit 25]
[49.0, 1.9] [Underwater Metal Deposit 25]
[64.6, 2.0] [Underwater Metal Deposit 25]
[67.2, 1.9] [Oil Rock 25]
[68.8, 1.9] [Oil Rock 25]
[77.9, 1.9] [Silica Deposit 25]
[40.5, 2.1] [Underwater Metal Deposit 25]
[42.1, 2.1] [Oil Rock 25]
[46.4, 2.1] [Underwater Metal Deposit 25]
[70.1, 2.1] [Underwater Metal Deposit 25]
[31.0, 2.2] [Underwater Metal Deposit 25]
[32.1, 2.3] [Underwater Metal Deposit 25]
[32.6, 2.2] [Oil Rock 25]
[38.5, 2.3] [Underwater Metal Deposit 25]
[42.9, 2.2] [Oil Rock 25]
[43.1, 2.7] [Underwater Metal Deposit 25]
[47.3, 2.5] [Silica Deposit 25]
[50.1, 2.2] [Underwater Metal Deposit 25]
[63.3, 2.4] [Underwater Metal Deposit 25]
[74.2, 2.4] [Underwater Metal Deposit 25]
[47.4, 2.5] [Black Pearls 100]
[68.7, 2.5] [Underwater Metal Deposit 25]
[77.5, 2.5] [Underwater Metal Deposit 25]
[70.7, 2.6] [Oil Rock 25]
[46.9, 2.7] [Oil Rock 25]
[48.1, 2.7] [Oil Rock 25]
[80.7, 2.7] [Metal Deposit 25]
[86.3, 2.7] [Underwater Metal Deposit 25]
[26.8, 2.8] [Underwater Metal Deposit 25]
[30.2, 3.5] [Underwater Metal Deposit 25]
[41.8, 3.3] [Oil Rock 25]
[43.9, 3.1] [Oil Rock 25]
[51.5, 2.8] [Oil Rock 25]
[52.5, 2.8] [Underwater Metal Deposit 25]
[53.7, 2.8] [Oil Rock 25]
[48.0, 2.9] [Underwater Metal Deposit 25]
[56.0, 3.2] [Underwater Metal Deposit 25]
[61.8, 2.9] [Underwater Metal Deposit 25]
[82.4, 3.0] [Silica Deposit 25]
[89.5, 3.1] [Silica Deposit 25]
[74.1, 3.2] [Oil Rock 25]
[83.5, 3.2] [Underwater Metal Deposit 25]
[57.2, 3.3] [Oil Rock 25]
[41.8, 3.4] [Underwater Metal Deposit 25]
[68.9, 3.4] [Underwater Metal Deposit 25]
[79.6, 3.4] [Silica Deposit 25]
[31.4, 3.5] [Oil Rock 25]
[32.2, 3.6] [Underwater Metal Deposit 25]
[60.6, 3.7] [Underwater Metal Deposit 25]
[73.6, 3.7] [Underwater Metal Deposit 25]
[94.7, 3.7] [Underwater Metal Deposit 25]
[23.5, 3.8] [Silica Deposit 25]
[26.9, 4.1] [Underwater Metal Deposit 25]
[37.6, 4.0] [Oil Rock 25]
[50.7, 3.9] [Oil Rock 25]
[53.4, 3.9] [Silica Deposit 25]
[85.9, 4.0] [Underwater Metal Deposit 25]
[29.2, 4.1] [Underwater Metal Deposit 25]
[37.8, 4.1] [Underwater Metal Deposit 25]
[52.3, 4.1] [Silica Deposit 25]
[54.6, 4.1] [Silica Deposit 25]
[83.4, 4.1] [Underwater Metal Deposit 25]
[83.6, 4.1] [Metal Deposit 25]
[22.4, 4.2] [Underwater Metal Deposit 25]
[30.8, 5.1] [Underwater Metal Deposit 25]
[34.6, 4.2] [Underwater Metal Deposit 25]
[35.0, 4.3] [Oil Rock 25]
[40.0, 4.4] [Underwater Metal Deposit 25]
[45.9, 4.4] [Underwater Metal Deposit 25]
[53.4, 4.2] [Underwater Metal Deposit 25]
[63.3, 4.2] [Underwater Metal Deposit 25]
[64.1, 4.2] [Underwater Metal Deposit 25]
[69.5, 4.2] [Underwater Metal Deposit 25]
[74.0, 4.3] [Underwater Metal Deposit 25]
[82.5, 4.3] [Metal Deposit 25]
[48.3, 4.4] [Silica Deposit 25]
[48.7, 4.5] [Black Pearls 100]
[58.5, 4.5] [Underwater Metal Deposit 25]
[62.4, 4.5] [Underwater Metal Deposit 25]
[43.9, 4.7] [Underwater Metal Deposit 25]
[47.2, 4.8] [Oil Rock 25]
[48.5, 4.7] [Oil Rock 25]
[50.9, 4.8] [Silica Deposit 25]
[61.7, 4.8] [Underwater Metal Deposit 25]
[80.6, 4.8] [Metal Deposit 25]
[35.2, 5.0] [Oil Rock 25]
[35.4, 5.0] [Underwater Metal Deposit 25]
[45.5, 5.0] [Silica Deposit 25]
[53.2, 5.0] [Silica Deposit 25]
[71.0, 5.0] [Underwater Metal Deposit 25]
[85.1, 5.0] [Underwater Metal Deposit 25]
[37.1, 5.1] [Oil Rock 25]
[42.0, 5.1] [Underwater Metal Deposit 25]
[68.6, 5.1] [Oil Rock 25]
[81.5, 5.1] [Silica Deposit 25]
[93.0, 5.1] [Silica Deposit 25]
[13.9, 5.2] [Oil Rock 25]
[25.6, 5.5] [Underwater Metal Deposit 25]
[72.9, 5.2] [Silica Deposit 25]
[31.9, 5.3] [Underwater Metal Deposit 25]
[32.5, 5.4] [Silica Deposit 25]
[36.8, 5.3] [Underwater Metal Deposit 25]
[40.8, 5.3] [Oil Rock 25]
[51.4, 5.3] [Oil Rock 25]
[72.7, 5.3] [Black Pearls 100]
[82.7, 5.4] [Silica Deposit 25]
[90.1, 5.4] [Silica Deposit 25]
[35.4, 5.5] [Oil Rock 25]
[79.8, 5.5] [Silica Deposit 25]
[12.4, 5.6] [Silica Deposit 25]
[15.6, 6.2] [Silica Deposit 25]
[16.7, 5.7] [Oil Rock 25]
[16.8, 5.6] [Silica Deposit 25]
[23.5, 6.2] [Underwater Metal Deposit 25]
[26.8, 5.7] [Silica Deposit 25]
[27.8, 5.6] [Silica Deposit 25]
[33.8, 5.9] [Underwater Metal Deposit 25]
[44.5, 5.6] [Underwater Metal Deposit 25]
[48.7, 5.6] [Black Pearls 100]
[62.0, 5.6] [Underwater Metal Deposit 25]
[35.7, 5.7] [Underwater Metal Deposit 25]
[48.3, 5.7] [Silica Deposit 25]
[65.7, 5.8] [Underwater Metal Deposit 25]
[88.4, 5.8] [Silica Deposit 25]
[98.0, 5.8] [Underwater Metal Deposit 25]
[48.4, 5.9] [Underwater Metal Deposit 25]
[50.4, 5.9] [Silica Deposit 25]
[50.5, 5.9] [Black Pearls 100]
[75.1, 5.9] [Silica Deposit 25]
[83.8, 5.9] [Underwater Metal Deposit 25]
[85.0, 5.9] [Underwater Metal Deposit 25]
[25.6, 6.0] [Oil Rock 25]
[28.2, 6.0] [Underwater Metal Deposit 25]
[41.5, 6.0] [Underwater Metal Deposit 25]
[48.3, 6.0] [Underwater Metal Deposit 25]
[50.2, 6.0] [Oil Rock 25]
[54.0, 6.0] [Underwater Metal Deposit 25]
[33.9, 6.1] [Silica Deposit 25]
[38.5, 6.3] [Silica Deposit 25]
[49.3, 6.2] [Underwater Metal Deposit 25]
[56.9, 6.4] [Silica Deposit 25]
[62.8, 6.2] [Underwater Metal Deposit 25]
[85.8, 6.2] [Underwater Metal Deposit 25]
[91.5, 6.2] [Underwater Metal Deposit 25]
[88.6, 6.3] [Underwater Metal Deposit 25]
[15.7, 6.5] [Oil Rock 25]
[16.9, 7.0] [Oil Rock 25]
[19.3, 6.8] [Oil Rock 25]
[28.4, 6.6] [Silica Deposit 25]
[32.1, 6.5] [Silica Deposit 25, Underwater Metal Deposit 25]
[37.3, 6.8] [Silica Deposit 25]
[56.9, 6.5] [Underwater Metal Deposit 25]
[78.3, 6.5] [Silica Deposit 25]
[81.3, 6.5] [Metal Deposit 25]
[82.9, 6.5] [Metal Deposit 25]
[38.0, 6.6] [Underwater Metal Deposit 25]
[46.1, 6.7] [Underwater Metal Deposit 25]
[69.1, 6.6] [Oil Rock 25]
[82.8, 6.6] [Underwater Metal Deposit 25]
[77.1, 6.7] [Silica Deposit 25]
[93.9, 6.7] [Underwater Metal Deposit 25]
[47.1, 6.8] [Underwater Metal Deposit 25]
[75.4, 6.8] [Metal Deposit 25]
[95.9, 6.8] [Underwater Metal Deposit 25]
[25.5, 6.9] [Underwater Metal Deposit 25]
[32.8, 7.0] [Silica Deposit 25]
[52.3, 6.9] [Oil Rock 25]
[60.9, 6.9] [Underwater Metal Deposit 25]
[93.2, 6.9] [Silica Deposit 25]
[35.0, 7.0] [Underwater Metal Deposit 25]
[39.6, 7.1] [Underwater Metal Deposit 25]
[70.2, 7.0] [Underwater Metal Deposit 25]
[89.6, 7.0] [Silica Deposit 25]
[91.6, 7.0] [Silica Deposit 25]
[65.7, 7.1] [Underwater Metal Deposit 25]
[72.3, 7.1] [Oil Rock 25]
[78.2, 7.1] [Underwater Metal Deposit 25]
[17.1, 7.2] [Silica Deposit 25]
[33.0, 7.2] [Underwater Metal Deposit 25]
[51.2, 7.2] [Oil Rock 25]
[67.9, 7.2] [Underwater Metal Deposit 25]
[11.0, 7.3] [Silica Deposit 25]
[11.7, 13.2] [Underwater Metal Deposit 25]
[13.5, 9.5] [Silica Deposit 25]
[18.0, 7.4] [Silica Deposit 25]
[36.0, 7.3] [Underwater Metal Deposit 25]
[76.5, 7.3] [Metal Deposit 25]
[18.1, 7.4] [Oil Rock 25]
[27.1, 7.5] [Silica Deposit 25]
[43.4, 7.4] [Underwater Metal Deposit 25]
[55.5, 7.4] [Underwater Metal Deposit 25]
[27.2, 7.5] [Underwater Metal Deposit 25]
[40.7, 7.6] [Underwater Metal Deposit 25]
[44.3, 7.5] [Oil Rock 25]
[53.8, 7.5] [Underwater Metal Deposit 25]
[73.9, 7.6] [Oil Rock 25]
[14.1, 7.7] [Underwater Metal Deposit 25]
[14.3, 9.6] [Underwater Metal Deposit 25]
[53.8, 7.7] [Silica Deposit 25]
[99.3, 7.7] [Underwater Metal Deposit 25]
[57.1, 7.8] [Underwater Metal Deposit 25]
[60.1, 7.9] [Underwater Metal Deposit 25]
[74.7, 7.8] [Oil Rock 25]
[66.2, 7.9] [Underwater Metal Deposit 25]
[90.5, 7.9] [Silica Deposit 25]
[15.0, 8.0] [Silica Deposit 25]
[15.3, 8.8] [Underwater Metal Deposit 25]
[19.5, 8.3] [Underwater Metal Deposit 25]
[22.8, 8.0] [Silica Deposit 25]
[30.1, 8.0] [Underwater Metal Deposit 25]
[64.1, 8.0] [Underwater Metal Deposit 25]
[75.7, 8.0] [Oil Rock 25]
[93.2, 8.0] [Silica Deposit 25]
[71.7, 8.1] [Underwater Metal Deposit 25]
[21.8, 8.2] [Underwater Metal Deposit 25]
[23.2, 8.6] [Underwater Metal Deposit 25]
[25.5, 8.2] [Underwater Metal Deposit 25]
[27.9, 8.4] [Underwater Metal Deposit 25]
[31.4, 8.3] [Silica Deposit 25]
[42.0, 8.2] [Underwater Metal Deposit 25]
[62.5, 8.2] [Underwater Metal Deposit 25]
[67.6, 8.3] [Underwater Metal Deposit 25]
[75.9, 8.3] [Underwater Metal Deposit 25]
[31.3, 8.4] [Underwater Metal Deposit 25]
[32.4, 8.9] [Underwater Metal Deposit 25]
[38.0, 8.7] [Silica Deposit 25]
[61.7, 8.5] [Underwater Metal Deposit 25]
[71.6, 8.4] [Metal Deposit 25]
[75.5, 8.5] [Metal Deposit 25]
[82.9, 8.4] [Silica Deposit 25]
[81.7, 8.6] [Metal Deposit 25]
[39.4, 8.7] [Silica Deposit 25]
[59.0, 8.7] [Underwater Metal Deposit 25]
[72.3, 8.7] [Metal Deposit 25]
[33.0, 8.8] [Silica Deposit 25]
[50.2, 8.9] [Oil Rock 25]
[63.8, 8.8] [Underwater Metal Deposit 25]
[60.5, 8.9] [Underwater Metal Deposit 25]
[77.8, 8.9] [Silica Deposit 25]
[18.3, 9.0] [Underwater Metal Deposit 25]
[20.8, 9.6] [Underwater Metal Deposit 25]
[23.6, 10.1] [Underwater Metal Deposit 25]
[23.8, 9.1] [Silica Deposit 25]
[28.8, 9.0] [Underwater Metal Deposit 25]
[33.6, 9.1] [Underwater Metal Deposit 25]
[34.7, 9.0] [Underwater Metal Deposit 25]
[36.2, 9.3] [Silica Deposit 25]
[42.6, 9.2] [Underwater Metal Deposit 25]
[50.2, 9.0] [Underwater Metal Deposit 25]
[50.3, 9.0] [Silica Deposit 25]
[71.3, 9.0] [Oil Rock 25]
[42.8, 9.1] [Silica Deposit 25]
[57.7, 9.1] [Underwater Metal Deposit 25]
[65.8, 9.1] [Underwater Metal Deposit 25]
[70.8, 9.1] [Silica Deposit 25]
[91.4, 9.1] [Underwater Metal Deposit 25]
[72.6, 9.2] [Oil Rock 25]
[37.3, 9.3] [Silica Deposit 25]
[37.8, 9.3] [Underwater Metal Deposit 25]
[43.8, 9.3] [Silica Deposit 25]
[69.9, 9.3] [Underwater Metal Deposit 25]
[70.4, 9.3] [Metal Deposit 25]
[88.7, 9.3] [Underwater Metal Deposit 25]
[94.8, 9.3] [Underwater Metal Deposit 25]
[40.2, 9.4] [Underwater Metal Deposit 25]
[45.7, 9.6] [Silica Deposit 25]
[74.2, 9.4] [Silica Deposit 25]
[51.9, 9.5] [Underwater Metal Deposit 25]
[53.9, 9.5] [Underwater Metal Deposit 25]
[81.2, 9.5] [Silica Deposit 25]
[31.2, 9.7] [Underwater Metal Deposit 25]
[45.9, 9.7] [Underwater Metal Deposit 25]
[66.0, 9.7] [Underwater Metal Deposit 25]
[26.9, 9.8] [Silica Deposit 25]
[31.0, 9.8] [Silica Deposit 25]
[44.6, 9.8] [Silica Deposit 25]
[79.5, 9.8] [Metal Deposit 25]
[87.8, 9.8] [Underwater Metal Deposit 25]
[71.6, 9.9] [Underwater Metal Deposit 25]
[35.2, 10.1] [Underwater Metal Deposit 25]
[36.5, 10.3] [Silica Deposit 25]
[77.8, 10.2] [Silica Deposit 25]
[75.7, 10.3] [Oil Rock 25]
[23.6, 10.4] [Silica Deposit 25]
[24.4, 10.5] [Underwater Metal Deposit 25]
[27.8, 10.8] [Silica Deposit 25]
[32.9, 10.6] [Silica Deposit 25]
[53.0, 10.4] [Underwater Metal Deposit 25]
[63.2, 10.4] [Underwater Metal Deposit 25]
[71.6, 10.4] [Silica Deposit 25]
[80.3, 10.4] [Silica Deposit 25]
[44.0, 10.5] [Underwater Metal Deposit 25]
[47.2, 10.6] [Underwater Metal Deposit 25]
[73.0, 10.5] [Oil Rock 25]
[50.1, 10.6] [Underwater Metal Deposit 25]
[60.8, 10.6] [Underwater Metal Deposit 25]
[76.3, 10.6] [Underwater Metal Deposit 25]
[32.8, 10.7] [Underwater Metal Deposit 25]
[34.1, 10.8] [Underwater Metal Deposit 25]
[36.9, 10.7] [Underwater Metal Deposit 25]
[39.2, 10.7] [Underwater Metal Deposit 25]
[41.2, 10.7] [Underwater Metal Deposit 25]
[57.8, 10.7] [Underwater Metal Deposit 25]
[44.7, 10.8] [Silica Deposit 25]
[46.8, 10.8] [Silica Deposit 25]
[40.3, 10.9] [Silica Deposit 25]
[73.6, 10.9] [Underwater Metal Deposit 25]
[88.7, 10.9] [Underwater Metal Deposit 25]
[24.4, 11.0] [Silica Deposit 25]
[31.3, 11.0] [Silica Deposit 25]
[41.7, 11.0] [Silica Deposit 25]
[65.0, 11.0] [Underwater Metal Deposit 25]
[23.1, 11.2] [Silica Deposit 25]
[29.0, 11.2] [Underwater Metal Deposit 25]
[42.7, 11.2] [Silica Deposit 25]
[69.4, 11.2] [Metal Deposit 25]
[72.5, 11.2] [Underwater Metal Deposit 25]
[11.8, 11.4] [Underwater Metal Deposit 25]
[12.6, 12.6] [Crystal Deposit 25]
[15.1, 11.6] [Underwater Metal Deposit 25]
[23.2, 11.4] [Underwater Metal Deposit 25]
[32.2, 11.5] [Underwater Metal Deposit 25]
[49.0, 11.4] [Underwater Metal Deposit 25]
[66.3, 11.5] [Underwater Metal Deposit 25]
[26.2, 11.6] [Underwater Metal Deposit 25]
[35.3, 11.6] [Underwater Metal Deposit 25]
[44.0, 11.6] [Silica Deposit 25]
[45.4, 11.7] [Underwater Metal Deposit 25]
[59.3, 11.7] [Underwater Metal Deposit 25]
[36.7, 11.8] [Underwater Metal Deposit 25]
[55.2, 11.8] [Underwater Metal Deposit 25]
[64.1, 11.9] [Underwater Metal Deposit 25]
[69.5, 11.9] [Underwater Metal Deposit 25]
[17.4, 12.0] [Underwater Metal Deposit 25]
[24.8, 12.1] [Underwater Metal Deposit 25]
[32.7, 12.0] [Silica Deposit 25]
[72.9, 12.0] [Oil Rock 25]
[31.5, 12.1] [Underwater Metal Deposit 25]
[48.0, 12.1] [Underwater Metal Deposit 25]
[68.0, 12.1] [Underwater Metal Deposit 25]
[51.9, 12.2] [Underwater Metal Deposit 25]
[13.7, 12.3] [Underwater Metal Deposit 25]
[23.1, 12.7] [Underwater Metal Deposit 25]
[27.6, 12.8] [Underwater Metal Deposit 25]
[61.5, 12.6] [Underwater Metal Deposit 25]
[67.1, 12.4] [Metal Deposit 25]
[73.8, 12.3] [Oil Rock 25]
[71.2, 12.5] [Oil Rock 25]
[63.2, 12.6] [Underwater Metal Deposit 25]
[69.1, 12.7] [Underwater Metal Deposit 25]
[72.6, 12.8] [Underwater Metal Deposit 25]
[57.2, 12.9] [Underwater Metal Deposit 25]
[60.5, 12.9] [Underwater Metal Deposit 25]
[69.1, 12.9] [Oil Rock 25]
[25.3, 13.0] [Underwater Metal Deposit 25]
[65.1, 13.0] [Underwater Metal Deposit 25]
[70.9, 13.0] [Underwater Metal Deposit 25]
[88.3, 13.0] [Underwater Metal Deposit 25]
[92.8, 13.1] [Underwater Metal Deposit 25]
[94.6, 13.2] [Underwater Metal Deposit 25]
[8.9, 13.3] [Underwater Metal Deposit 25]
[10.3, 13.4] [Crystal Deposit 25]
[20.3, 13.3] [Underwater Metal Deposit 25]
[68.6, 13.3] [Metal Deposit 25]
[23.2, 13.4] [Silica Deposit 25]
[67.0, 13.4] [Underwater Metal Deposit 25]
[70.6, 13.4] [Metal Deposit 25]
[12.7, 13.5] [Crystal Deposit 25]
[13.4, 13.9] [Underwater Metal Deposit 25]
[14.3, 13.5] [Underwater Metal Deposit 25]
[46.6, 13.7] [Underwater Metal Deposit 25]
[67.9, 13.6] [Underwater Metal Deposit 25]
[46.9, 13.7] [Silica Deposit 25]
[95.6, 13.7] [Underwater Metal Deposit 25]
[42.9, 13.8] [Silica Deposit 25]
[53.3, 13.8] [Underwater Metal Deposit 25]
[68.7, 13.9] [Underwater Metal Deposit 25]
[14.0, 14.0] [Crystal Deposit 25]
[29.7, 14.3] [Underwater Metal Deposit 25]
[38.4, 14.0] [Rare Flowers 5]
[40.0, 14.5] [Rare Flowers 5]
[47.8, 14.0] [Underwater Metal Deposit 25]
[48.9, 14.8] [Underwater Metal Deposit 25]
